"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","73","1784983477.1487622","snapshot","NVIDIA GeForce RTX 5070","90","11329","12227","ok","7","0","0.005801478184852549","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","74","1784983477.4884703","snapshot","NVIDIA GeForce RTX 5070","90","11329","12227","ok","8","0","0.020106492887228766","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","75","1784983477.8126442","snapshot","NVIDIA GeForce RTX 5070","90","11329","12227","ok","5","0","0.0012715568624334095","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","76","1784983478.1532826","snapshot","NVIDIA GeForce RTX 5070","88","11327","12227","ok","7","0","0.00238416911706274","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","77","1784983478.4731636","snapshot","NVIDIA GeForce RTX 5070","88","11327","12227","ok","7","0","0.0016689183819439402","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","78","1784983478.8116198","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","6","0","0.00206627990145436","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","79","1784983479.1579332","snapshot","NVIDIA GeForce RTX 5070","87","11329","12227","ok","8","0","0.00341730906778992","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","80","1784983479.470819","snapshot","NVIDIA GeForce RTX 5070","87","11329","12227","ok","8","0","0.012318207104824008","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","81","1784983479.7958093","snapshot","NVIDIA GeForce RTX 5070","87","11329","12227","ok","7","0","0.0012715568624334095","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","82","1784983480.138188","snapshot","NVIDIA GeForce RTX 5070","84","11329","12227","ok","7","0","0.003735198283398189","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","83","1784983480.4897768","snapshot","NVIDIA GeForce RTX 5070","84","11329","12227","ok","7","0","0.0007947230390209503","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","84","1784983480.8280554","snapshot","NVIDIA GeForce RTX 5070","84","11329","12227","ok","8","0","0.00150997377413975","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","85","1784983481.1672277","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","6","0","0.0012715568624334095","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","86","1784983481.4918835","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","6","0","0.00532464436144009","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","87","1784983481.8269746","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","7","0","0.00222522450925855","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","88","1784983482.1481118","snapshot","NVIDIA GeForce RTX 5070","87","11329","12227","ok","5","0","0.0006357784312167603","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","89","1784983482.4869552","snapshot","NVIDIA GeForce RTX 5070","87","11329","12227","ok","6","0","0.00254311372486693","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","90","1784983482.8074265","snapshot","NVIDIA GeForce RTX 5070","87","11329","12227","ok","5","0","0.0012715568624334095","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","91","1784983483.1296706","snapshot","NVIDIA GeForce RTX 5070","77","11327","12227","ok","5","0","0.006437256616069309","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","0","1784983486.9552884","snapshot","NVIDIA GeForce RTX 5070","24","11334","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","1","1784983487.3175297","snapshot","NVIDIA GeForce RTX 5070","24","11343","12227","ok","6","0","0.0026225860287689695","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","2","1784983487.6469514","snapshot","NVIDIA GeForce RTX 5070","24","11343","12227","ok","5","0","0.0007152507351187998","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","3","1784983487.9922304","snapshot","NVIDIA GeForce RTX 5070","91","11343","12227","ok","2","0","0.00206627990145436","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","4","1784983488.328536","snapshot","NVIDIA GeForce RTX 5070","91","11343","12227","ok","3","0","0.005722005880950509","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","5","1784983488.6923854","snapshot","NVIDIA GeForce RTX 5070","91","11343","12227","ok","3","0","0.016530239211634767","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","6","1784983489.0103424","snapshot","NVIDIA GeForce RTX 5070","85","11343","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","7","1784983489.3405008","snapshot","NVIDIA GeForce RTX 5070","85","11336","12227","ok","1","0","0.00015894460780419006","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","8","1784983489.6629272","snapshot","NVIDIA GeForce RTX 5070","85","11343","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","formal","1","796","9","1784983489.989063","snapshot","NVIDIA GeForce RTX 5070","24","11336","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
